"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050"
"RG025",0,0.618149513270297,0.646070698470359,0.603470186824258,0.617877479063474,0.595378084615195,0.62309446821112,0.59566889725389,0.610843396010806,0.51460030671346,0.589765092921997,0.417587690230573,0.564245588734764,0.514384107519392,0.464941796331488
"RG026",0.618149513270297,0,0.48752689292525,0.100900003788067,0.0172167738653462,0.0318273420292935,0.01495458064659,0.184746832239205,0.0129527322378788,0.210971477322474,0.093717702448834,0.411633678938645,0.141287736122506,0.36211776709277,0.763239155742865
"RG027",0.646070698470359,0.48752689292525,0,0.515293939380917,0.486572589138095,0.488223658264381,0.497894876685478,0.550684797316707,0.4887272398804,0.520321657415842,0.50264929849313,0.536304399629268,0.509050026184597,0.233847646653563,0.681468610632884
"RG029",0.603470186824258,0.100900003788067,0.515293939380917,0,0.0881094415039494,0.0976579017984993,0.105617550659364,0.100127878050015,0.105110295239446,0.175826151942488,0.0421746486598444,0.364802963913132,0.0702775518411096,0.363263480064296,0.715228264835863
"RG031",0.617877479063474,0.0172167738653462,0.486572589138095,0.0881094415039494,0,0.0301275718441063,0.023147876191624,0.172664980544457,0.0236705792671222,0.201695968968178,0.0829820688304363,0.402768082684561,0.129175963220149,0.357981608709711,0.755861075562248
"RG032",0.595378084615195,0.0318273420292935,0.488223658264381,0.0976579017984993,0.0301275718441063,0,0.0400713688236524,0.180079631248992,0.0299997194042417,0.184571344904611,0.0855029594368943,0.38471203090869,0.128545931959602,0.349721523695736,0.735035835954752
"RG033",0.62309446821112,0.01495458064659,0.497894876685478,0.105617550659364,0.023147876191624,0.0400713688236524,0,0.189695296290521,0.0210454777935444,0.219953020967572,0.100927166666156,0.421571683617588,0.149460411741744,0.371862134497536,0.769468017599144
"RG034",0.59566889725389,0.184746832239205,0.550684797316707,0.100127878050015,0.172664980544457,0.180079631248992,0.189695296290521,0,0.186750877002064,0.182032515414555,0.115365006572513,0.365084984806729,0.103980021965732,0.391468685690025,0.695154132959501
"RG037",0.610843396010806,0.0129527322378788,0.4887272398804,0.105110295239446,0.0236705792671222,0.0299997194042417,0.0210454777935444,0.186750877002064,0,0.203563210296671,0.0916210867594189,0.403873978496084,0.138740567204899,0.360080362702635,0.756250800751703
"RG038",0.51460030671346,0.210971477322474,0.520321657415842,0.175826151942488,0.201695968968178,0.184571344904611,0.219953020967572,0.182032515414555,0.203563210296671,0,0.16175179837222,0.243415231850515,0.130497780965899,0.332205405390567,0.611888392456912
"RG043",0.589765092921997,0.093717702448834,0.50264929849313,0.0421746486598444,0.0829820688304363,0.0855029594368943,0.100927166666156,0.115365006572513,0.0916210867594189,0.16175179837222,0,0.350073178505386,0.0633614425218325,0.338294634839068,0.700679954100705
"RG045",0.417587690230573,0.411633678938645,0.536304399629268,0.364802963913132,0.402768082684561,0.38471203090869,0.421571683617588,0.365084984806729,0.403873978496084,0.243415231850515,0.350073178505386,0,0.316447141057842,0.332162417013797,0.474842681545507
"RG048",0.564245588734764,0.141287736122506,0.509050026184597,0.0702775518411096,0.129175963220149,0.128545931959602,0.149460411741744,0.103980021965732,0.138740567204899,0.130497780965899,0.0633614425218325,0.316447141057842,0,0.321857191869912,0.666845431424128
"RG049",0.514384107519392,0.36211776709277,0.233847646653563,0.363263480064296,0.357981608709711,0.349721523695736,0.371862134497536,0.391468685690025,0.360080362702635,0.332205405390567,0.338294634839068,0.332162417013797,0.321857191869912,0,0.6435506610696
"RG050",0.464941796331488,0.763239155742865,0.681468610632884,0.715228264835863,0.755861075562248,0.735035835954752,0.769468017599144,0.695154132959501,0.756250800751703,0.611888392456912,0.700679954100705,0.474842681545507,0.666845431424128,0.6435506610696,0
